copyright	zengfr	site:http://github.com/zengfr/romhack
FF82B8	base+2B8	[002B2A, 002CAE, 01A74C]	
FF82BA	base+2BA	[002B2A, 002CAE, 01A74C]	
FF82BC	base+2BC	[01A74C]	
FF82BE	base+2BE	[01A74C]	
FF82C0	base+2C0	[01A74C]	
FF82C2	base+2C2	[002AA6, 002AC8, 002AE0, 002C4C, 002C72, 002D7A, 002DA6, 002DFE, 01A74C]	
FF82C4	base+2C4	[002A40, 002AA0, 002AF2, 002C24, 002C94, 002D84, 002DB0, 002E08, 01A74C]	
FF82C6	base+2C6	[002A44, 002C2A, 01A74C]	
FF82C8	base+2C8	[002A7C, 002AF4, 002B12, 002BCA, 002C56, 002C96, 002D86, 002DB2, 002E0A, 002E22, 002E64, 01A5AE, 01A74C]	
FF82CA	base+2CA	[002A7C, 002AF4, 002B12, 002BCA, 002C56, 002C96, 002D86, 002DB2, 002E0A, 002E22, 002E64, 01A5AE, 01A74C]	
FF82CC	base+2CC	[0029B2, 002A24, 002A8A, 002AAE, 002BC2, 002C44, 002C68, 002C7A, 002D98, 002DC6, 002E44, 01A74C]	
FF82CD	base+2CD	[002ABA, 002AFC, 002B04, 002B24, 002C86, 002D70, 002DC2, 002DD4, 002E12, 002E40]	
FF82CE	base+2CE	[0029B6, 002ACE, 002B84, 002B9E, 002DD8, 002DE0, 01A74C]	
FF82D0	base+2D0	[000F80, 000F8C, 0029BA, 002AD2, 002B88, 002DE4, 01A74C]	
FF82D2	base+2D2	[001DD2, 002E50, 002E62, 01A74C]	
FF82D4	base+2D4	[002A5A, 002A96, 002C30, 01A74C]	
FF82D5	base+2D5	[002A90, 002AB4, 002BC8, 002C6E, 002C80, 002D8E, 002DBA, 002DCE]	
FF82D6	base+2D6	[002A66, 002A6E, 002A72, 002ABE, 002AE4, 002AEA, 002AEE, 002C1C, 002C50, 002C8C, 002D74, 002D80, 002DA0, 002DAC, 002DF8, 002E04, 01A74C]	
FF82D8	base+2D8	[002B2A, 002CAE, 01A74C]	
FF82DA	base+2DA	[002B2A, 002CAE, 01A74C]	
FF82DC	base+2DC	[01A74C]	
FF82DE	base+2DE	[01A74C]	
FF82E0	base+2E0	[01A74C]	
FF82E2	base+2E2	[002AA6, 002AC8, 002AE0, 002C4C, 002C72, 002D7A, 002DA6, 002DFE, 01A74C]	
FF82E4	base+2E4	[002A40, 002AA0, 002AF2, 002C24, 002C94, 002D84, 002DB0, 002E08, 01A74C]	
FF82E6	base+2E6	[002A44, 002C2A, 01A74C]	
FF82E8	base+2E8	[0013DC, 0013E2, 0014D2, 0014D8, 01A77E]	
FF82EA	base+2EA	[0013C0, 0013C6, 0014BC, 0014C2, 01A79A]	
FF82EC	base+2EC	[0013F8, 0013FE, 0014E8, 0014EE, 01A7B6]	
FF82EE	base+2EE	[001414, 00141A, 0014FE, 001504, 01A7D2]	
FF82F0	base+2F0	[001452, 001458, 00152A, 001530, 01A7EE]	
FF82F2	base+2F2	[001430, 001436, 001514, 00151A, 01A80A]	
