copyright	zengfr	site:http://github.com/zengfr/romhack
00B2BA	00B2BA	[211000, 211100, 211200, 211900, 211A00, 211B00, 211C00, 211D00, 211E00, 211F00, 212000]	
00B2D0	00B2D0	[21100B, 21110B, 21120B, 21190B, 211A0B, 211B0B, 211C0B, 211D0B, 211E0B, 211F0B, 21200B]	
00B2D6	00B2D6	[21101A, 21111A, 21121A, 21191A, 211A1A, 211B1A, 211C1A, 211D1A, 211E1A, 211F1A, 21201A]	
00B2E6	00B2E6	[211028, 211128, 211228, 211928, 211A28, 211B28, 211C28, 211D28, 211E28, 211F28, 212028]	
00B2EA	00B2EA	[211024, 211124, 211224, 211924, 211A24, 211B24, 211C24, 211D24, 211E24, 211F24, 212024]	
00B2F8	00B2F8	[21100B, 21110B, 21120B, 21190B, 211A0B, 211B0B, 211C0B, 211D0B, 211E0B, 211F0B, 21200B]	
00B2FE	00B2FE	[211058, 211158, 211258, 211958, 211A58, 211B58, 211C58, 211D58, 211E58, 211F58, 212058]	
00B306	00B306	[21103E, 21113E, 21123E, 21193E, 211A3E, 211B3E, 211C3E, 211D3E, 211E3E, 211F3E, 21203E]	
00B344	00B344	[211000, 211100, 211200, 211900, 211A00, 211B00, 211C00, 211D00, 211E00, 211F00, 212000]	
00B350	00B350	[211000, 211100, 211200, 211900, 211A00, 211B00, 211C00, 211D00, 211E00, 211F00, 212000]	
00B364	00B364	[21101A, 21111A, 21121A, 21191A, 211A1A, 211B1A, 211C1A, 211D1A, 211E1A, 211F1A, 21201A]	
00B37E	00B37E	[211018, 211118, 211218, 211918, 211A18, 211B18, 211C18, 211D18, 211E18, 211F18, 212018]	
00B394	00B394	[211019, 211119, 211219, 211919, 211A19, 211B19, 211C19, 211D19, 211E19, 211F19, 212019]	
00B424	00B424	[21190E, 211A0E, 211D0E, 211E0E, 211F0E]	
00B442	00B442	[21190B, 211A0B, 211D0B, 211E0B, 211F0B]	
00B44A	00B44A	[21190C, 211A0C]	
00B45C	00B45C	[21191A, 211A1A, 211D1A, 211E1A, 211F1A]	
00B46A	00B46A	[211920, 211A20, 211D20, 211E20, 211F20]	
00B476	00B476	[21190C, 211A0C, 211D0C, 211E0C, 211F0C]	
00B47C	00B47C	[21190E, 211A0E, 211D0E, 211E0E, 211F0E]	
00B4A0	00B4A0	[21107E, 21117E, 21127E, 21197E, 211A7E, 211B7E, 211C7E, 211D7E, 211E7E, 211F7E, 21207E]	
00B4A8	00B4A8	[211001, 211101, 211201, 211901, 211A01, 211B01, 211C01, 211D01, 211E01, 211F01, 212001]	
00B4B0	00B4B0	[211017, 211117, 211217, 211917, 211A17, 211B17, 211C17, 211D17, 211E17, 211F17, 212017]	
00B4C4	00B4C4	[21101C, 21101E, 21111C, 21111E, 21121C, 21121E, 21191C, 21191E, 211A1C, 211A1E, 211B1C, 211B1E, 211C1C, 211C1E, 211D1C, 211D1E, 211E1C, 211E1E, 211F1C, 211F1E, 21201C, 21201E]	
00B4D2	00B4D2	[211016, 211116, 211216, 211916, 211A16, 211B16, 211C16, 211D16, 211E16, 211F16, 212016]	
00B4E0	00B4E0	[211016, 211116, 211216, 211916, 211A16, 211B16, 211C16, 211D16, 211E16, 211F16, 212016]	
00B4E4	00B4E4	[211017, 211117, 211217, 211917, 211A17, 211B17, 211C17, 211D17, 211E17, 211F17, 212017]	
00B4E8	00B4E8	[211000, 211100, 211200, 211900, 211A00, 211B00, 211C00, 211D00, 211E00, 211F00, 212000]	
00B508	00B508	[211014, 211114, 211214, 211914, 211A14, 211B14, 211C14, 211D14, 211E14, 211F14, 212014]	
00B518	00B518	[211010, 211110, 211210, 211910, 211A10, 211B10, 211C10, 211D10, 211E10, 211F10, 212010]	
00B524	00B524	[211012, 211112, 211212, 211912, 211A12, 211B12, 211C12, 211D12, 211E12, 211F12, 212012]	
