copyright	zengfr	site:http://github.com/zengfr/romhack
FF861C	1p+B4	[00A2C6, 00A382, 00C002]	
FF861E	1p+B6	[00A2C6, 00A382, 00C002]	
FF8620	1p+B8	[00A2C6, 00A382, 00C112]	
FF8622	1p+BA	[00A2C6, 00A382, 00C112]	
FF8624	1p+BC	[00A2C6, 00A382, 00C118]	
FF8626	1p+BE	[00A2C6, 00A382, 00C118]	
FF8FE8	enemy+ 0	[003A12, 005EAE, 0061C0, 009ACA]	
FF8FE9	enemy+ 1	[003234, 00325E]	
FF8FEA	enemy+ 2	[003A12, 009ACA, 021DA8, 021F8C, 027298, 0275D0, 02796C, 028174, 0282F4, 02A356, 02A4DA, 035120, 036240, 0364EA, 038984, 03A300, 03A3C8]	
FF8FEB	enemy+ 3	[00411C, 021F48, 022420, 0224D0, 022540, 0225A6, 0227CA, 0228B0, 022AF8, 022B0C, 022B4E, 022B62, 022B7E, 022B9E, 022C14, 022C36, 022D56, 022D76, 022D8A, 027066, 0270B6, 027A30, 027A4E, 027A62, 0282B2, 028636, 028BDE, 028C1E, 028C32, 028C8A, 028D30, 028EF6, 028F16, 02A498, 02A76E, 02A826, 02A890, 02A8F6, 02AA42, 02ADDA, 02AE24, 02AE38, 02AE54, 02AE68, 02AE74, 02AF0E, 02AF2C, 02AFA2, 02B06C, 02B08C, 02B0A0, 0354AC, 0358F4, 036070, 036246, 0366B8, 036C0A, 036C7E, 036C9E, 038D56, 0396FE, 039984, 039D70, 03A304, 03A39E, 03A3CC, 03A44C, 03A4C4]	
FF8FEC	enemy+ 4	[003A12, 004120, 009ACA, 021DA8, 021F8C, 022078, 02211C, 022424, 02244E, 02248A, 0224D4, 022544, 0225AA, 0227CE, 022810, 0228B4, 0229E8, 022AFC, 022B10, 022B52, 022B66, 022B82, 022BA2, 022C18, 022C3A, 022D5A, 022D7A, 022D8E, 02706A, 027094, 0270BA, 0270DE, 0271C8, 02722E, 027298, 027342, 027358, 027388, 0273DC, 0275D0, 02796C, 027A34, 027A54, 027A68, 028174, 0282F4, 0283B6, 028432, 0285B2, 0285EE, 02863A, 028BE2, 028C22, 028C36, 028C8E, 028D34, 028EFA, 028F1A, 02A356, 02A4DA, 02A59C, 02A61E, 02A772, 02A7A4, 02A7E0, 02A82A, 02A894, 02A8FA, 02AA46, 02AA88, 02ACBC, 02ADDE, 02AE28, 02AE3C, 02AE58, 02AE6C, 02AE78, 02AF12, 02AF30, 02AFA6, 02B070, 02B090, 02B0A4, 0351D4, 03521E, 03524C, 035264, 0354B0, 0357E4, 0358B4, 0358F8, 035938, 0359C6, 035B70, 036074, 0360F4, 036188, 036200, 03624A, 0364BE, 0366AE, 036C0E, 036CA2, 038A6C, 038AE8, 038D5A, 038E8C, 038F62, 0390F4, 03913A, 0396F0, 039716, 039C8C, 039CF8, 039D26, 039D4E, 039D66, 03A212, 03A282, 03A2CA, 03A308, 03A3A2, 03A3D0, 03A450, 03A4C0]	
FF8FED	enemy+ 5	[022566, 0225D8, 02262C, 022660, 022C3E, 027346, 02735C, 02738C, 0273E0, 027482, 027506, 027570, 02782E, 0278B2, 027918, 027A58, 027A6C, 0286D0, 02A8B6, 02A928, 02A97C, 02AFAA, 035494, 0354FC, 03553E, 03557E, 035628, 035646, 035674, 035692, 0356AE, 03582C, 0358EC, 03590E, 035940, 035980, 035BD6, 035BE8, 035C58, 035C78, 035C8C, 035D00, 035D5E, 035DB0, 036078, 03624E, 0366BC, 036C12, 036CA6, 039058, 0390F0, 0392A4, 0392F0, 0396F4, 039780, 039792, 0397A4, 0397D4, 039858, 03986C, 0398DC, 039924, 039962, 039D6A, 03A30C, 03A3A6, 03A3D4, 03A454, 03A4BC]	
FF8FEE	enemy+ 6	[0030A6, 003140, 003162, 003A12, 004198, 0041D0, 005ECA, 0061DC, 007C38, 007C62, 009ACA, 027D7C, 02ACE8, 035886, 039CD6]	
FF8FF0	enemy+ 8	[0030A6, 003140, 003162, 003A12, 004198, 009ACA, 027D7C, 035886]	
FF8FF2	enemy+ A	[0030BA, 00316E, 003A12, 00419E, 0041D8, 005EE6, 0061F8, 007C52, 007C6A, 009ACA, 0271CE, 027228, 02750C, 02756A, 0278B8, 027912, 02798C, 027DA4, 035CB2, 035D06, 035D64, 03618E, 0361FC, 0364CA, 039666, 039892, 0398E2, 03992A, 039CDC, 039D4A, 03A238, 03A288, 03A2D0]	
FF8FF4	enemy+ C	[0030BA, 00316E, 003A12, 00419E, 009ACA, 0271CE, 027228, 02750C, 02756A, 0278B8, 027912, 027DA4, 035D06, 035D64, 03618E, 0361FC, 0364CA, 039666, 0398E2, 03992A, 039D4A, 03A288, 03A2D0]	
FF8FF6	enemy+ E	[003A12, 0041A4, 007C4E, 007C66, 009ACA, 021CF4, 022448, 027DAA, 028112, 0285AC, 02A2E8, 02A79E, 035126, 03522E, 03595E, 03898A, 038EC4, 0392AA, 03A6DA, 03A738]	
FF8FF8	enemy+10	[003A0E, 0041A4, 009ACA, 021CF4, 022448, 027DAA, 028112, 0285AC, 02A2E8, 02A79E, 035126, 03522E, 03595E, 03898A, 038EC4, 0392AA, 03A6DA, 03A738]	
FF8FFA	enemy+12	[003848, 003A0E, 005EEC, 009ACA, 009AD2]	
FF8FFB	enemy+13	[006216]	
FF8FFC	enemy+14	[003A0E, 005EEC, 00621C, 009ACA]	
FF8FFE	enemy+16	[00336A, 003A0E, 007340, 00738A, 0073D8, 007428, 009ACA]	
FF8FFF	enemy+17	[003DA2, 004118, 006E06, 007366, 0073B8, 00745A, 0074A2, 0075B8, 0076E0, 0224EA, 027130, 0273EE, 027466, 027812, 028650, 02A840, 02ACB6, 02AEF4, 035458, 035BE2, 035C86, 038F2E, 03979E, 039866, 039C9E, 03A20C]	
FF9000	enemy+18	[002F88, 003A0E, 003DBC, 003DC2, 003F78, 0079C4, 0079D8, 009ACA]	
FF9002	enemy+1A	[002F8C, 003A0E, 009ACA, 022C0E, 0271C2, 028D2A, 02AF26, 036BEC, 03A37C]	
FF9004	enemy+1C	[002F84, 003A0E, 009ACA]	
FF9006	enemy+1E	[003A0E, 009ACA, 021F42, 021F82, 022072, 0220F8, 022116, 022124, 02245C, 022482, 022574, 02259E, 0225E6, 022816, 02282A, 0229F6, 022A24, 0270E2, 027486, 0274C4, 0274E2, 027832, 027870, 02788E, 0282AC, 0282EA, 0283B0, 02840E, 02842C, 02843A, 0285C0, 0285E6, 0286DE, 028708, 02A492, 02A4D0, 02A596, 02A5FA, 02A618, 02A626, 02A7B2, 02A7D8, 02A8C4, 02A8EE, 02A936, 02AA8E, 02AAA4, 02ACB2, 02ACEE, 0351DA, 0351F8, 035210, 03525C, 03526A, 035400, 03549A, 0354B6, 035502, 03554C, 035578, 035584, 0355EC, 03562E, 03564C, 03567A, 03568C, 035698, 0356A4, 0356B4, 0357DC, 035806, 03583A, 03588C, 03589E, 0359E0, 035C90, 035CC6, 035CD8, 035DB6, 035DC2, 0360F8, 036136, 036162, 0364C4, 0364D0, 038A7A, 038AC2, 038EA4, 038F12, 038F1A, 039870, 039968, 039970, 039D1A, 039D20, 039D54, 039D60, 03A216, 03A24C, 03A262]	
FF9007	enemy+1F	[0351E0, 0351FE, 035270]	
FF9008	enemy+20	[003A0A, 003AE6, 003B0C, 003B20, 003B46, 003B5A, 009ACA]	
FF900A	enemy+22	[003A0A, 003AE6, 003B0C, 003B20, 003B46, 003B5A, 009ACA]	
FF900C	enemy+24	[003A0A, 003AF4, 003B2E, 003B68, 009ACA]	
FF900E	enemy+26	[003A0A, 003AF4, 003B2E, 003B68, 009ACA]	
FF9010	enemy+28	[003A0A, 003AEC, 003B06, 003B16, 003B26, 003B40, 003B50, 003B60, 009ACA]	
FF9012	enemy+2A	[003A0A, 003AFA, 003B34, 003B6E, 009ACA]	
FF9014	enemy+2C	[003A0A, 003AFA, 003B34, 003B6E, 009ACA]	
FF9016	enemy+2E	[003A0A, 0041AA, 0041B0, 0041E2, 009ACA, 021DAE, 0272EE, 0272FA, 027C8E, 027C96, 027CA8, 027CB0, 02816C, 02A34E, 02AF02, 02AF08, 035B7C, 035B82, 036B4C, 036B60, 038990, 03971C, 039722, 039CC8, 039CCE, 03A904, 03A918]	
FF9017	enemy+2F	[0389AE]	
FF9018	enemy+30	[003A06, 003B00, 003B3A, 003B74, 009ACA, 027406, 035BFE, 0397EC]	
FF901A	enemy+32	[003A06, 009ACA, 021CFC, 02811A, 02A2F0, 0351E8, 0359CE, 038E98]	
FF901C	enemy+34	[003A06, 009ACA, 021CFC, 02811A, 02A2F0, 0351E8, 0359CE, 038E98]	
FF901E	enemy+36	[003A06, 005EF2, 006222, 009ACA, 0270B0, 0272F4, 027D78, 035384, 0359F4, 03698A, 0369CA, 0369D0, 03A6CA, 03A6D0, 03A72E]	
FF901F	enemy+37	[002F7C]	
FF9020	enemy+38	[003A06, 009ACA, 021D4C, 028150, 02A332, 036DB0, 03ADB4]	
FF9022	enemy+3A	[003A06, 009ACA, 021D4C, 028150, 02A332, 036DB0, 03ADB4]	
FF9024	enemy+3C	[003A06, 003DAC, 00733A, 007384, 0073D2, 007422, 009ACA]	
FF9026	enemy+3E	[003A06, 003D9C, 007496, 007A10, 007A18, 007A36, 009ACA]	
FF9027	enemy+3F	[003DB2, 007346, 007390, 0073DE, 00742E, 007472, 0271B4, 0361BC]	
FF9028	enemy+40	[003A02, 007520, 009ACA, 0270AA, 036C94]	
FF902A	enemy+42	[003A02, 004114, 009ACA, 027290, 036C98]	
FF902B	enemy+43	[0041E6]	
FF902C	enemy+44	[003A02, 007524, 009ACA]	
FF902E	enemy+46	[003A02, 00422C, 009ACA]	
FF9030	enemy+48	[003A02, 00422C, 009ACA]	
FF9032	enemy+4A	[003A02, 009ACA, 035138, 0354D8, 0356AA, 036C56]	
FF9034	enemy+4C	[003A02, 009ACA, 0354DC]	
FF9036	enemy+4E	[003A02, 003A16, 00999E, 009ACA]	
FF9038	enemy+50	[003138, 0039FE, 009ACA, 027100, 0271E4, 027240, 02749C, 0274AC, 0274DC, 027522, 027532, 027556, 027580, 027590, 027848, 027858, 027888, 0278CE, 0278DE, 027902, 027928, 027938, 035C96, 035CAC, 035CDC, 035D0C, 035D22, 035D3E, 035D6A, 035D7A, 036102, 03615C, 036194, 0361EC, 036206, 0392C2, 0392DA, 039876, 0398E8, 039916, 039930, 039D04, 039D14, 03A21C, 03A266, 03A28E, 03A2BC, 03A2D6]	
FF903A	enemy+52	[0039FE, 009ACA, 027244, 02755A, 027586, 027594, 02792E, 02793C, 035D70, 035D7E, 03620C, 0392BC, 0392DE, 039936, 03A2DC]	
FF903C	enemy+54	[0030B2, 0039FE, 009ACA, 0270FC, 0271E0, 027498, 0274EC, 02751E, 027844, 027898, 0278CA, 035C9C, 035CE6, 035D12, 036108, 03616C, 03619A, 0392B0, 03987C, 0398EE, 039CFE, 03A222, 03A294]	
FF903E	enemy+56	[0039FE, 009ACA, 027106, 0271EA, 0274A2, 027528, 02784E, 0278D4, 035CA2, 035D18, 03610E, 0361A0, 0392B6, 039882, 0398F4, 039D0A, 03A228, 03A29A]	
FF9040	enemy+58	[0039FE, 007D36, 007D56, 009ACA]	
FF9041	enemy+59	[007D52]	
FF9042	enemy+5A	[0039FE, 009ACA]	
FF9044	enemy+5C	[002F90, 002F98, 0039FE, 009ACA, 021D52, 028156, 02A338, 036DBC, 03ADC0]	
FF9046	enemy+5E	[002F90, 002F98, 0039FE, 009ACA, 021D52, 028156, 02A338, 036DBC, 03ADC0]	
FF9048	enemy+60	[0039FA, 005EFE, 005F06, 00622E, 006238, 009ACA, 038998]	
FF904A	enemy+62	[0039FA, 005EF8, 006228, 009ACA]	
FF904B	enemy+63	[0270EA, 0272FE, 035140, 035B86, 035DC8, 039730, 039976, 03A3B2]	
FF904C	enemy+64	[0039FA, 009ACA]	
FF904E	enemy+66	[0039FA, 00849A, 0084A2, 009ACA]	
FF9050	enemy+68	[0039FA, 0075C4, 0076EC, 009ACA]	
FF9051	enemy+69	[003DA8, 004232, 007336, 007380, 0073CE, 00741E]	
FF9052	enemy+6A	[0039FA, 009ACA]	
FF9054	enemy+6C	[0039FA, 009ACA]	
FF9056	enemy+6E	[0039FA, 009ACA]	
FF9058	enemy+70	[0032AA, 0032BC, 0039F6, 009ACA]	
FF905A	enemy+72	[0032AA, 0032BC, 0039F6, 009ACA]	
