copyright	zengfr	site:http://github.com/zengfr/romhack
00A32C	00A32C	[FF85BA]	
00A330	00A330	[FF85BC]	
00A334	00A334	[FF85BE]	
00A338	00A338	[FF85C0]	
00A33C	00A33C	[FF85C1]	
00A340	00A340	[FF85C2]	
00A344	00A344	[FF85CE]	
00A348	00A348	[FF85F0]	
00A34C	00A34C	[FF85F1]	
00A350	00A350	[FF85F2]	
00A354	00A354	[FF85F3]	
00A358	00A358	[FF85F4]	
00A35C	00A35C	[FF85F5]	
00A360	00A360	[FF85F6]	
00A364	00A364	[FF85F7]	
00A368	00A368	[FF85FF]	
00A36C	00A36C	[FF85FE]	
00A370	00A370	[FF85FD]	
00A374	00A374	[FF85FC]	
00A382	00A382	[FF8600, FF8602, FF8604, FF8606, FF8608, FF860A, FF860C, FF860E, FF8610, FF8612, FF8614, FF8616, FF8618, FF861A, FF861C, FF861E, FF8620, FF8622, FF8624, FF8626]	
00A3FA	00A3FA	[FF856A, FF856C]	
00A546	00A546	[FF8576, FF8578]	
00A54C	00A54C	[FF8572]	
00A552	00A552	[FF85C9]	
00A558	00A558	[FF8602]	
00A560	00A560	[FF856A, FF856C]	
00A582	00A582	[FF8576, FF8578]	
00A588	00A588	[FF8586]	
00A58E	00A58E	[FF856B]	
00A59C	00A59C	[FF8586]	
00A5C6	00A5C6	[FF85E8]	
00A5CC	00A5CC	[FF8568]	
00A5D0	00A5D0	[FF8569]	
00A5D4	00A5D4	[FF8594]	
00A5DC	00A5DC	[FF856A, FF856C]	
00A664	00A664	[FF85C9]	
00A66A	00A66A	[FF8602]	
00A6A2	00A6A2	[FF8582]	
00A6B6	00A6B6	[FF85B2]	
00A6BA	00A6BA	[FF85FE]	
00A6BE	00A6BE	[FF8600]	
00A6C2	00A6C2	[FF860A]	
00A6C6	00A6C6	[FF8608]	
00A6CA	00A6CA	[FF860C]	
00A720	00A720	[FF85A8]	
00A724	00A724	[FF85AA]	
00A72A	00A72A	[FF856B]	
00A72E	00A72E	[FF856C]	
00A7A4	00A7A4	[FF85C9]	
00A7AA	00A7AA	[FF8602]	
00A7B4	00A7B4	[FF85FE]	
00A85E	00A85E	[FF856B]	
00A862	00A862	[FF856C]	
00A866	00A866	[FF860A]	
00A86A	00A86A	[FF8608]	
00A86E	00A86E	[FF860C]	
00A872	00A872	[FF8600]	
00A878	00A878	[FF8582]	
00A888	00A888	[FF94A6]	
00A88C	00A88C	[FF85B2]	
00A890	00A890	[FF85FE]	
00A91A	00A91A	[FF8603]	
00A948	00A948	[FF856C]	
00A94E	00A94E	[FF8576, FF8578]	
00A962	00A962	[FF856B]	
00A966	00A966	[FF856C]	
00A97C	00A97C	[FF85F6]	
00A982	00A982	[FF85BC]	
00A988	00A988	[FF85BE]	
00A98E	00A98E	[FF85B8]	
00A994	00A994	[FF85BA]	
00A99A	00A99A	[FF856C]	
00A9A0	00A9A0	[FF8586]	
00A9AE	00A9AE	[FF8586]	
00A9DA	00A9DA	[FF8572, FF8574]	
00A9E0	00A9E0	[FF856B]	
00A9E4	00A9E4	[FF856C]	
00AA78	00AA78	[FF856C]	
00AAAC	00AAAC	[FF8590]	
00AAC8	00AAC8	[FF856B]	
00AACC	00AACC	[FF856C]	
00AAF8	00AAF8	[FF856C]	
00AB10	00AB10	[FF856B]	
00AB14	00AB14	[FF856C]	
00AB40	00AB40	[FF860E]	
00AB46	00AB46	[FF856C]	
00AB56	00AB56	[FF856B]	
00AB5A	00AB5A	[FF856C]	
00AB66	00AB66	[FF860E]	
00AB8A	00AB8A	[FF8576, FF8578]	
00AB90	00AB90	[FF85BC]	
00AB96	00AB96	[FF85BE]	
00AB9A	00AB9A	[FF85B8]	
00AB9E	00AB9E	[FF85BA]	
00ABA2	00ABA2	[FF860D]	
00ABA6	00ABA6	[FF8611]	
00ABAA	00ABAA	[FF8609]	
00ABB0	00ABB0	[FF856C]	
00ABD6	00ABD6	[FF856C]	
00ABF8	00ABF8	[FF85B8]	
00ABFE	00ABFE	[FF85BA]	
00AC08	00AC08	[FF85B8]	
00AC0C	00AC0C	[FF85BA]	
00AC26	00AC26	[FF85B8]	
00AC48	00AC48	[FF857F]	
00AC62	00AC62	[FF8609]	
00AC8A	00AC8A	[FF8572, FF8574]	
00AC90	00AC90	[FF856B]	
00AC94	00AC94	[FF856C]	
00ACC4	00ACC4	[FF85CB]	
00AD08	00AD08	[FF856C]	
00AD0C	00AD0C	[FF856D]	
00AD1E	00AD1E	[FF856C]	
00AD22	00AD22	[FF856D]	
00AD34	00AD34	[FF856C]	
00AD38	00AD38	[FF856D]	
00AD4A	00AD4A	[FF856C]	
00AD4E	00AD4E	[FF856D]	
00AD98	00AD98	[FF856C]	
00AD9C	00AD9C	[FF856D]	
00ADAA	00ADAA	[FF857F]	
00ADC2	00ADC2	[FF8598]	
00ADD0	00ADD0	[FF856B]	
00ADD4	00ADD4	[FF856C]	
00AE1C	00AE1C	[FF8596]	
00AE22	00AE22	[FF859E]	
00AE28	00AE28	[FF856D]	
00AE2E	00AE2E	[FF8572]	
00AE34	00AE34	[FF8596]	
00AE38	00AE38	[FF8586]	
00AE3E	00AE3E	[FF85B8]	
00AE44	00AE44	[FF85BC]	
00AE4A	00AE4A	[FF85BA]	
00AE50	00AE50	[FF85BE]	
