copyright	zengfr	site:http://github.com/zengfr/romhack
FF85F7	1p+8F	[0, 8]	
FF85F8	1p+90	[0, 2]	
FF85F9	1p+91	[0]	
FF85FA	1p+92	[0, 10, 66, 6675]	
FF85FB	1p+93	[75]	
FF85FC	1p+94	[0]	
FF85FD	1p+95	[0, 2, 4, 6, 8, A]	
FF85FE	1p+96	[0, 1, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 1A, 1B, 1C, 1D, 1E, 1F, 2, 20, 22, 23, 3, 4, 5, 6, 7, 8, 9, A, B, C, D, E, F]	
FF85FF	1p+97	[0]	
FF8600	1p+98	[0, 1]	
FF8601	1p+99	[0, 11, 12, 13, 14, 15, 16, 17, 18, 19, 44, 45, 46, 47, 48, 49, 4A, 4B, 4C, 4D, 4E, 4F, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 5A, 5B, 5C, 5D, 82]	
FF8602	1p+9A	[0, 1]	
FF8603	1p+9B	[1]	
FF8604	1p+9C	[0, 1A2, 3D9, 4D0, 51D, 558, 56E, 56F, 6E8, 850, 8AD, 8AE, 950, 98, 9C0, 9C2, BD0, C1, C2, C45, C95, F58]	
FF8606	1p+9E	[0, 30, 32, 3B]	
FF8608	1p+A0	[0, 1, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 1A, 1B, 1C, 1D, 2, 22, 23, 24, 25, 26, 27, 28, 29, 2A, 2B, 2C, 2D, A, B, C, D, E, F]	
FF8609	1p+A1	[0, FF]	
FF860A	1p+A2	[0, 2, 4, 6, 8, A]	
FF860C	1p+A4	[0, 1]	
FF860D	1p+A5	[0, 1]	
FF860E	1p+A6	[0, 1, 2, 3, 4, 5, 6]	
FF860F	1p+A7	[0]	
FF8610	1p+A8	[0]	
FF8611	1p+A9	[0]	
FF8612	1p+AA	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]	
FF8614	1p+AC	[0, 1100, 1900, 1A00, 2300, 2C00, 3400, 3D00, 4600, 4F00, 5700, 6000, 6900, 6A00, 7200, 7B00, 800, 8300, 8D00, 9500, 9E00, A00, A100, A900, AA00, B200, BC00, C400, CD00, D500, DF00, E700, EF00, F000, F800, FF00]	
FF8616	1p+AE	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, A, B, C]	
FF8618	1p+B0	[0, 1, 2, FFFD, FFFE]	
FF861A	1p+B2	[0, 1900, D00, E700, F300]	
FF861C	1p+B4	[0, 1]	
FF861E	1p+B6	[0, 3400, CC00]	
FF8620	1p+B8	[0]	
FF8622	1p+BA	[0, C1BE, C1E2]	
FF8624	1p+BC	[0]	
FF8626	1p+BE	[0, C2BA, C2DE]	
FF8FE8	enemy+ 0	[0, 1]	
FF8FE9	enemy+ 1	[0, 1]	
FF8FEA	enemy+ 2	[0, 2, 200, 206, 4, 400, 6, 600]	
FF8FEB	enemy+ 3	[0, 10, 12, 14, 1A, 1C, 2, 4, 6, 8, A, C, E]	
FF8FEC	enemy+ 4	[0, 10, 12, 14, 2, 4, 6, 8, A, C, FF]	
FF8FED	enemy+ 5	[0, 2, 4, 6, 8, A]	
FF8FEE	enemy+ 6	[0, 1A0, 1A1, 1A2, 1A3, 1A4, 1A5, 1A6, 1A7, 1A8, 1A9, 1AA, 1AB, 1AC, 1AD, 1AE, 1AF, 1B0, 1B1, 1B2, 1B3, 1B4, 1B5, 1B6, BBB, BBC, BBE, BC0, BC3, BC4, BC5, BC8, BCA, BCC, BCD, BCF, E59]	
FF8FF0	enemy+ 8	[0, 1340, 1580, 1A00, 2300, 2440, 2C00, 2E40, 3400, 3880, 3D00, 4600, 4F00, 50C0, 6900, 6BC0, 73C0, 7CC0, 800, 85C0, 8EC0, 9FC0, A2C0, A900, B3C0, BDC0, C080, CEC0, D7C0, DA80, E380, EC80, F000, F240, FD80, FF80]	
FF8FF2	enemy+ A	[0, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 1A, 1B, 1C, 1D, 1E, 1F, 20, 21, 22, 88, 89, 8A, 8B, 8C, 8D, 8E, 8F, 90, 91, 92, 93, 94, 95, 96, F]	
FF8FF4	enemy+ C	[0, 1100, 1580, 1A00, 2300, 2440, 2C00, 2E40, 3400, 3D00, 4600, 4740, 4840, 4F00, 5700, 6AC0, 6BC0, 73C0, 800, 85C0, 8DC0, 9180, 9A80, A2C0, ABC0, BC0, BDC0, C080, C5C0, CEC0, D7C0, E140, E8C0, F000, FB40, FFC0]	
FF8FF6	enemy+ E	[0, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 1A, 1B, 1C, 1D, 1E, 1F, 20, 21, 22, 23, 24, 44, 45, 46, 47, 48, 49, 4A, 4B, 4C, 4D, 4E, 4F, 50, F]	
FF8FF8	enemy+10	[0, 1000, 1100, 1240, 1580, 1A00, 2300, 2440, 2C00, 2E40, 3400, 3780, 4740, 4840, 4E00, 5700, 6AC0, 6BC0, 73C0, 800, 85C0, 8DC0, 9180, 9A80, A2C0, A800, BDC0, C080, CEC0, D7C0, E140, E8C0, F000, F140, FB40, FF80]	
FF8FFA	enemy+12	[0, 2, 200, 205]	
FF8FFB	enemy+13	[0, 1, 2, 6]	
FF8FFC	enemy+14	[0, 1, 100, 2, 204]	
FF8FFE	enemy+16	[0, 1, 10, 11, 12, 2, 3, 4, 6, 7, 9, C]	
FF8FFF	enemy+17	[0, 1, 2, 3, 4, 5, 6]	
FF9000	enemy+18	[0, 1, 10, 12, 13, 15, 16, 18, 1B, 1C, 1E, 1F, 2, 20, 22, 26, 29, 2A, 4, 44, 48, 4C, 4E, 6C, 8, 8E, 98, B, C, C2, E, FFEF, FFF1, FFF3, FFF4, FFFA]	
FF9002	enemy+1A	[0, 1, 10, 12, 13, 15, 16, 18, 1B, 1C, 1E, 1F, 2, 20, 22, 26, 29, 2A, 4, 44, 48, 4C, 4E, 6C, 8, 8E, 98, B, C, C2, E, FFF1, FFF4, FFF5, FFF6, FFFA]	
FF9004	enemy+1C	[0, 1C, 29, 2A, 3D, 3E, 40, 44, 48, 4C, CC]	
FF9006	enemy+1E	[0, 10, 10A, 10B, 10C, 10D, 10E, 10F, 11, 110, 111, 112, 113, 114, 115, 116, 117, 118, 119, 11A, 11B, 12, 13, A0, A1, A2, A3, A4, A5, A6, A7, A8, A9, AA, AB, AC, FF]	
FF9007	enemy+1F	[7, 8, 9, A]	
FF9008	enemy+20	[0, 2, 3]	
FF900A	enemy+22	[0, 3FC8, 3FCC, 3FD0, 3FD4, 3FD8, 3FDC, 3FE0, 4AFC, 4B94, 4B9C, 50B2, 50B6, 50BA, 50BE, 5270, 5274, 5278, 8406, 840A, 90F0, 9508, 950C, 9620, 9624, 9628, 962C, B4C6, B4CA, B4CE, B4D2, B4D6, B78C, BC10, BC14, BC4A]	
FF900C	enemy+24	[0, 2, 3]	
