copyright	zengfr	site:http://github.com/zengfr/romhack
spr;FFFFB274; 1; 2; 0; 0; C;   C;   0;   A20F0;   A1A90;       0;a0:   A2124; AB4;8000;       6;2A5A;   0	
spr;FFFFB274; 1; 2; 0; 0; E;   C;   0;   A1732;       0;       0;a0:   A213E; ABC;8000;     606;   0;   0	
spr;FFFFB274; 1; 2; 0; 0; E;   C;   0;   A1732;   A1A30;       0;a0:   A213E; ABC;8000;     606;   0;   0	
spr;FFFFB274; 1; 2; 0; 0; E;   C;   0;   A1732;   A1A90;       0;a0:   A213E; ABC;8000;     606;   0;   0	
spr;FFFFB274; 1; 2; 0; 0; E;   C;   0;   A177C;   A1A30;       0;a0:   A213E; ABC;8000;     606;   0;   0	
spr;FFFFB274; 1; 2; 0; 0; E;   C;   0;   A17A0;   A1A90;       0;a0:   A213E; ABC;8000;     606;   0;   0	
spr;FFFFB274; 1; 2; 0; 0; E;   C;   0;   A213E;       0;       0;a0:   A214A; AC0;8000;     605;  5B;   0	
spr;FFFFB274; 1; 2; 0; 0; E;   C;   0;   A213E;   A1A30;       0;a0:   A214A; AC0;8000;     605;  5B;   0	
spr;FFFFB274; 1; 2; 0; 0; E;   C;   0;   A213E;   A1A90;       0;a0:   A214A; AC0;8000;     605;  5B;   0	
spr;FFFFB274; 1; 2; 0; 0; E;   C;   0;   A214A;       0;       0;a0:   A2156; AC4;8000;     604;  5C;   0	
