copyright	zengfr	site:http://github.com/zengfr/romhack
FF81DC	base+1DC	[0, 3, 7]	
FF81DE	base+1DE	[0, 10, 11, 12, 13, 14, 15, 18, 19, 1B, 1E, 2, 20, 200B, 200C, 2013, 2016, 2017, 2019, 201C, 201D, 9, A, B, C, D, E, F]	
FF81DF	base+1DF	[0, 10, 13, 15, 16, 18, 1B, 1E, 20, B, C, D, E, F]	
FF81E0	base+1E0	[0, 1, 15, 1500, 240, 3, 380, D, D00]	
FF81E1	base+1E1	[0, 1, 80]	
FF81E2	base+1E2	[0]	
FF81E3	base+1E3	[0]	
FF81E4	base+1E4	[0]	
FF81E6	base+1E6	[0]	
FF81E8	base+1E8	[0]	
FF81EA	base+1EA	[0, 2, 30, 38, 39, 3B, 62, 66, 71, 72, 79, 7C, A8, F7, F8]	
FF81EC	base+1EC	[0, 3, 4, 5, 7]	
FF81EE	base+1EE	[0, 10, 11, 12, 1204, 13, 14, 15, 16, 19, 1B, 1E, 2, 20, 200A, 200B, 200C, 200D, 2012, 2013, 2014, 201C, 2020, 6, 7, B, E, F]	
FF81EF	base+1EF	[10, 11, 12, 13, 16, 19, 1B, 1E, 2, 20, 4, 6, C, F]	
FF81F0	base+1F0	[0, 1, 15, 1500, 156, 240, 3, 380]	
FF81F1	base+1F1	[0, 56, 80]	
FF81F2	base+1F2	[0, 10, 1080, 40, 60]	
FF81F3	base+1F3	[0, 40, 60, 80]	
FF81F4	base+1F4	[0]	
