copyright	zengfr	site:http://github.com/zengfr/romhack
FF80D6	base+ D6	[00042C, 00A622, 0AAACC, 0AAAD2, 0AAAD4, 0AAADA, 0AAAE8, 0AAAF6]	
FF80D8	base+ D8	[00042C, 00A622, 0AAACC, 0AAACE, 0AAAD4, 0AAADA, 0AAAE8, 0AAAF6]	
FF80DA	base+ DA	[00042C, 00063E, 00064E, 000660, 000666, 009612, 00968E, 00A61C, 00A64C, 0AAACC, 0AAAD2, 0AAAD4, 0AAADA, 0AAAE8, 0AAAF6]	
FF80DC	base+ DC	[00042C, 00066C, 009614, 009690, 00A61C, 00A64E, 0AAACC, 0AAACE, 0AAAD4, 0AAADA, 0AAAE8, 0AAAF6]	
FF80DE	base+ DE	[00042C, 000672, 009614, 009690, 00A61E, 00A64E, 0AAACC, 0AAAD2, 0AAAD4, 0AAADA, 0AAAE8, 0AAAF6]	
FF80DF	base+ DF	[000678]	
FF80E0	base+ E0	[00042C, 00067E, 009616, 009692, 00A61E, 00A650, 0AAACC, 0AAACE, 0AAAD4, 0AAADA, 0AAAE8, 0AAAF6]	
FF80E1	base+ E1	[000684]	
FF80E2	base+ E2	[00042C, 00068A, 009616, 009692, 00A620, 00A650, 0AAACC, 0AAAD2, 0AAAD4, 0AAADA, 0AAAE8, 0AAAF6]	
FF80E3	base+ E3	[000690]	
FF80E4	base+ E4	[00042C, 00A620, 0AAACC, 0AAACE, 0AAAD4, 0AAADA, 0AAAE8, 0AAAF6]	
FF80E6	base+ E6	[00042C, 00A622, 0AAACC, 0AAAD2, 0AAAD4, 0AAADA, 0AAAE8, 0AAAF6]	
FF80E8	base+ E8	[00042C, 00A622, 0AAACC, 0AAACE, 0AAAD4, 0AAADA, 0AAAE8, 0AAAF6]	
FF80EA	base+ EA	[00042C, 00063E, 000660, 000666, 0006A0, 009612, 00968E, 00A61C, 00A64C, 0AAACC, 0AAAD2, 0AAAD4, 0AAADA, 0AAAE8, 0AAAF6]	
FF80EB	base+ EB	[0006A6]	
FF80EC	base+ EC	[00042C, 00066C, 0006AC, 009614, 009690, 00A61C, 00A64E, 0AAACC, 0AAACE, 0AAAD4, 0AAADA, 0AAAE8, 0AAAF6]	
FF80ED	base+ ED	[0006B2]	
FF80EE	base+ EE	[00042C, 000672, 009614, 009690, 00A61E, 00A64E, 0AAACC, 0AAAD2, 0AAAD4, 0AAADA, 0AAAE8, 0AAAF6]	
FF80EF	base+ EF	[000678]	
FF80F0	base+ F0	[00042C, 00067E, 009616, 009692, 00A61E, 00A650, 0AAACC, 0AAACE, 0AAAD4, 0AAADA, 0AAAE8, 0AAAF6]	
FF80F1	base+ F1	[000684]	
FF80F2	base+ F2	[00042C, 00068A, 009616, 009692, 00A620, 00A650, 0AAACC, 0AAAD2, 0AAAD4, 0AAADA, 0AAAE8, 0AAAF6]	
FF80F3	base+ F3	[000690]	
FF80F4	base+ F4	[00042C, 00A620, 0AAACC, 0AAACE, 0AAAD4, 0AAADA, 0AAAE8, 0AAAF6]	
FF80F6	base+ F6	[00042C, 00A622, 0AAACC, 0AAAD2, 0AAAD4, 0AAADA, 0AAAE8, 0AAAF6]	
FF80F8	base+ F8	[00042C, 00A622, 0AAACC, 0AAACE, 0AAAD4, 0AAADA, 0AAAE8, 0AAAF6]	
